video_path,speaker,emotion,gender,ethnicity
id00016/TufzL0Yj-HA/00085,id00016,2,male,Caucasian (European)
id00016/Uoq8b33_z20/00088,id00016,2,male,Caucasian (European)
id00016/Uoq8b33_z20/00090,id00016,0,male,Caucasian (European)
id00016/WGeDB7T-7aA/00092,id00016,0,male,Caucasian (European)
id00016/XQKuH2w7FcQ/00096,id00016,0,male,Caucasian (European)
id00016/YfhzTicV_rw/00099,id00016,2,male,Caucasian (European)
id00016/ZqnnMFcWsIA/00100,id00016,2,male,Caucasian (European)
id00016/ZqnnMFcWsIA/00102,id00016,2,male,Caucasian (European)
id00016/c27abcxzvaA/00104,id00016,0,male,Caucasian (European)
id00016/eNIR_cEr8oE/00105,id00016,0,male,Caucasian (European)
id00016/gOEY7OgBzEw/00106,id00016,0,male,Caucasian (European)
id00016/i4XU7wiwrwg/00109,id00016,2,male,Caucasian (European)
id00016/i4XU7wiwrwg/00110,id00016,0,male,Caucasian (European)
id00016/i4XU7wiwrwg/00111,id00016,0,male,Caucasian (European)
id00016/i4XU7wiwrwg/00112,id00016,0,male,Caucasian (European)
id00016/i4XU7wiwrwg/00113,id00016,2,male,Caucasian (European)
id00016/i4XU7wiwrwg/00116,id00016,0,male,Caucasian (European)
id00016/i4XU7wiwrwg/00117,id00016,2,male,Caucasian (European)
id00016/j9XK1VXX7xw/00118,id00016,0,male,Caucasian (European)
id00016/j9XK1VXX7xw/00120,id00016,0,male,Caucasian (European)
id00016/liJWCKu6iPU/00122,id00016,2,male,Caucasian (European)
id00016/mW9EXHGCHi4/00126,id00016,2,male,Caucasian (European)
id00016/oZ5EL71DbYM/00134,id00016,2,male,Caucasian (European)
id00016/oziSBLYisZk/00136,id00016,0,male,Caucasian (European)
id00016/oziSBLYisZk/00137,id00016,0,male,Caucasian (European)
id00016/rlCb70CV3YU/00138,id00016,2,male,Caucasian (European)
id00016/rlCb70CV3YU/00139,id00016,2,male,Caucasian (European)
id00016/sEVuPIIy1Jg/00142,id00016,0,male,Caucasian (European)
id00016/sPJ365h2rxI/00146,id00016,2,male,Caucasian (European)
id00016/sPJ365h2rxI/00147,id00016,2,male,Caucasian (European)
id00016/sPJ365h2rxI/00151,id00016,2,male,Caucasian (European)
id00016/wRY_WI3CXc8/00155,id00016,2,male,Caucasian (European)
id00016/wRY_WI3CXc8/00156,id00016,2,male,Caucasian (European)
id00016/wRY_WI3CXc8/00158,id00016,2,male,Caucasian (European)
id00016/zWodVo_7t6A/00166,id00016,0,male,Caucasian (European)
id00016/zWodVo_7t6A/00167,id00016,0,male,Caucasian (European)
id00016/zWodVo_7t6A/00168,id00016,0,male,Caucasian (European)
id00016/zWodVo_7t6A/00173,id00016,2,male,Caucasian (European)
id00016/zqsG-gTQCd4/00179,id00016,2,male,Caucasian (European)
id00018/31xSZXsKR9w/00004,id00018,1,male,Caucasian (North American)
id00018/EliXZV5PX6g/00048,id00018,1,male,Caucasian (North American)
id00018/Hufm91VqckQ/00069,id00018,1,male,Caucasian (North American)
id00018/Hufm91VqckQ/00070,id00018,1,male,Caucasian (North American)
id00018/Hufm91VqckQ/00073,id00018,1,male,Caucasian (North American)
id00018/Hufm91VqckQ/00077,id00018,1,male,Caucasian (North American)
id00018/Hufm91VqckQ/00078,id00018,1,male,Caucasian (North American)
id00018/ZziH8xPxQzI/00094,id00018,1,male,Caucasian (North American)
id00018/ZziH8xPxQzI/00095,id00018,1,male,Caucasian (North American)
id00018/iNlRMGqsmrQ/00115,id00018,0,male,Caucasian (North American)
id00018/iNlRMGqsmrQ/00122,id00018,0,male,Caucasian (North American)
id00018/qyTJEwWNCDE/00138,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00139,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00140,id00018,2,male,Caucasian (North American)
id00018/r377L5cuPOw/00141,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00142,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00143,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00144,id00018,2,male,Caucasian (North American)
id00018/r377L5cuPOw/00145,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00146,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00148,id00018,2,male,Caucasian (North American)
id00018/r377L5cuPOw/00149,id00018,2,male,Caucasian (North American)
id00018/r377L5cuPOw/00151,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00152,id00018,0,male,Caucasian (North American)
id00018/r377L5cuPOw/00153,id00018,2,male,Caucasian (North American)
id00018/r377L5cuPOw/00154,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00158,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00160,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00161,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00162,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00164,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00166,id00018,0,male,Caucasian (North American)
id00018/r4NkfADdyNE/00167,id00018,2,male,Caucasian (North American)
id00018/r4NkfADdyNE/00169,id00018,0,male,Caucasian (North American)
id00018/sj5jrgAdggA/00184,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00187,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00190,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00191,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00192,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00193,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00194,id00018,2,male,Caucasian (North American)
id00018/tZStiZYpjhI/00195,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00196,id00018,0,male,Caucasian (North American)
id00018/tZStiZYpjhI/00197,id00018,0,male,Caucasian (North American)
id00018/z52AFvmVOgc/00200,id00018,0,male,Caucasian (North American)
id00018/z52AFvmVOgc/00201,id00018,0,male,Caucasian (North American)
id00018/z52AFvmVOgc/00203,id00018,0,male,Caucasian (North American)
id00018/z52AFvmVOgc/00204,id00018,0,male,Caucasian (North American)
id00018/z52AFvmVOgc/00208,id00018,0,male,Caucasian (North American)
id00018/z52AFvmVOgc/00209,id00018,0,male,Caucasian (North American)
id00019/0tvRnn6HKsc/00005,id00019,0,male,Caucasian (North American)
id00019/MDEetah50_s/00034,id00019,2,male,Caucasian (North American)
id00019/MDEetah50_s/00037,id00019,0,male,Caucasian (North American)
id00019/NxrLad46IWE/00039,id00019,3,male,Caucasian (North American)
id00019/RpV7zEpx3QY/00055,id00019,0,male,Caucasian (North American)
id00019/RpV7zEpx3QY/00075,id00019,2,male,Caucasian (North American)
id00019/WqlypvicTmY/00092,id00019,2,male,Caucasian (North American)
id00019/WqlypvicTmY/00093,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00095,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00096,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00098,id00019,2,male,Caucasian (North American)
id00019/WqlypvicTmY/00100,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00101,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00102,id00019,1,male,Caucasian (North American)
id00019/WqlypvicTmY/00103,id00019,2,male,Caucasian (North American)
id00019/WqlypvicTmY/00106,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00108,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00109,id00019,2,male,Caucasian (North American)
id00019/WqlypvicTmY/00112,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00116,id00019,2,male,Caucasian (North American)
id00019/WqlypvicTmY/00117,id00019,0,male,Caucasian (North American)
id00019/WqlypvicTmY/00119,id00019,0,male,Caucasian (North American)
id00019/_lmvY4AiroM/00123,id00019,0,male,Caucasian (North American)
id00019/_lmvY4AiroM/00125,id00019,0,male,Caucasian (North American)
id00019/_lmvY4AiroM/00131,id00019,0,male,Caucasian (North American)
id00019/anX4gftNLoc/00136,id00019,2,male,Caucasian (North American)
id00019/anX4gftNLoc/00137,id00019,2,male,Caucasian (North American)
id00019/anX4gftNLoc/00138,id00019,2,male,Caucasian (North American)
id00019/anX4gftNLoc/00140,id00019,0,male,Caucasian (North American)
id00019/anX4gftNLoc/00141,id00019,0,male,Caucasian (North American)
id00019/anX4gftNLoc/00142,id00019,0,male,Caucasian (North American)
id00019/anX4gftNLoc/00143,id00019,2,male,Caucasian (North American)
id00019/b9KAAGF5e4Q/00147,id00019,0,male,Caucasian (North American)
id00019/b9KAAGF5e4Q/00149,id00019,2,male,Caucasian (North American)
id00019/b9KAAGF5e4Q/00150,id00019,0,male,Caucasian (North American)
id00019/feQf4mh32JI/00154,id00019,0,male,Caucasian (North American)
id00019/feQf4mh32JI/00155,id00019,0,male,Caucasian (North American)
id00019/feQf4mh32JI/00158,id00019,0,male,Caucasian (North American)
id00019/feQf4mh32JI/00159,id00019,0,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00162,id00019,2,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00164,id00019,0,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00165,id00019,0,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00166,id00019,0,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00167,id00019,2,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00168,id00019,2,male,Caucasian (North American)
id00019/gIVdrxBp-_4/00169,id00019,2,male,Caucasian (North American)
id00019/sJiXpyj300M/00172,id00019,0,male,Caucasian (North American)
id00019/sJiXpyj300M/00175,id00019,0,male,Caucasian (North American)
id00019/wXjNpFz1vn8/00178,id00019,2,male,Caucasian (North American)
id00019/yXGSg98vB0k/00180,id00019,0,male,Caucasian (North American)
id00020/2AdBVbWv8UY/00003,id00020,1,male,Caucasian (European)
id00020/3xoQ19-UY_k/00009,id00020,3,male,Caucasian (European)
id00020/3xoQ19-UY_k/00011,id00020,0,male,Caucasian (European)
id00020/IpLYBI5Kaow/00057,id00020,0,male,Caucasian (European)
id00020/JQtZJp1-GFg/00068,id00020,2,male,Caucasian (European)
id00020/L5V6A0eLuxc/00083,id00020,0,male,Caucasian (European)
id00020/MM1fE2IkaDQ/00108,id00020,3,male,Caucasian (European)
id00020/MM1fE2IkaDQ/00125,id00020,1,male,Caucasian (European)
id00020/MM1fE2IkaDQ/00172,id00020,2,male,Caucasian (European)
id00020/MM1fE2IkaDQ/00175,id00020,1,male,Caucasian (European)
id00020/MM1fE2IkaDQ/00183,id00020,1,male,Caucasian (European)
id00020/MM1fE2IkaDQ/00184,id00020,1,male,Caucasian (European)
id00020/RNkAu1AqKqE/00194,id00020,0,male,Caucasian (European)
id00020/VXYAbbQWyQM/00211,id00020,0,male,Caucasian (European)
id00020/YqddRwOO6pk/00219,id00020,2,male,Caucasian (European)
id00020/YqddRwOO6pk/00222,id00020,2,male,Caucasian (European)
id00020/ZLqyUT3sxvg/00225,id00020,0,male,Caucasian (European)
id00020/arudEdQuKOM/00245,id00020,0,male,Caucasian (European)
id00020/fj7dYxm1p0o/00289,id00020,3,male,Caucasian (European)
id00020/gE7BZPp1Vvs/00299,id00020,0,male,Caucasian (European)
id00020/iRsViE6yAeg/00313,id00020,2,male,Caucasian (European)
id00020/kMEDs9LxbIQ/00325,id00020,2,male,Caucasian (European)
id00020/l9PiLBUrSGs/00343,id00020,0,male,Caucasian (European)
id00020/l9PiLBUrSGs/00347,id00020,0,male,Caucasian (European)
id00020/lOZLD0TfoL8/00360,id00020,3,male,Caucasian (European)
id00020/lOZLD0TfoL8/00361,id00020,3,male,Caucasian (European)
id00020/osRMtPvLxnc/00371,id00020,2,male,Caucasian (European)
id00020/sG3O_naichg/00378,id00020,0,male,Caucasian (European)
id00020/sG3O_naichg/00379,id00020,0,male,Caucasian (European)
id00020/t0bbIRgKKzM/00380,id00020,2,male,Caucasian (European)
id00020/t2vxzT70HHc/00385,id00020,2,male,Caucasian (European)
id00020/t3bjxTvmOPM/00387,id00020,2,male,Caucasian (European)
id00020/t3bjxTvmOPM/00389,id00020,0,male,Caucasian (European)
id00020/t3bjxTvmOPM/00391,id00020,0,male,Caucasian (European)
id00020/t3bjxTvmOPM/00394,id00020,0,male,Caucasian (European)
id00020/t3bjxTvmOPM/00395,id00020,0,male,Caucasian (European)
id00020/uo0V-qY1Z24/00396,id00020,0,male,Caucasian (European)
id00020/uo0V-qY1Z24/00397,id00020,3,male,Caucasian (European)
id00020/uo0V-qY1Z24/00398,id00020,2,male,Caucasian (European)
id00020/uo0V-qY1Z24/00399,id00020,0,male,Caucasian (European)
id00020/uo0V-qY1Z24/00400,id00020,0,male,Caucasian (European)
id00020/vAfFYJ3mtbQ/00403,id00020,2,male,Caucasian (European)
id00020/vAfFYJ3mtbQ/00406,id00020,2,male,Caucasian (European)
id00020/wMcZgNFWVFk/00412,id00020,0,male,Caucasian (European)
id00020/wMcZgNFWVFk/00414,id00020,2,male,Caucasian (European)
id00020/wMcZgNFWVFk/00415,id00020,0,male,Caucasian (European)
id00020/wMcZgNFWVFk/00418,id00020,0,male,Caucasian (European)
id00020/xcw_gAZBwMQ/00420,id00020,2,male,Caucasian (European)
id00020/xcw_gAZBwMQ/00421,id00020,2,male,Caucasian (European)
id00020/xcw_gAZBwMQ/00422,id00020,0,male,Caucasian (European)
id00029/96Z18I2UKAE/00022,id00029,0,male,Arab
id00029/BrWulfu1gZQ/00066,id00029,2,male,Arab
id00029/BrWulfu1gZQ/00081,id00029,0,male,Arab
id00029/BrWulfu1gZQ/00083,id00029,1,male,Arab
id00029/ENbtqqJvDP8/00113,id00029,0,male,Arab
id00029/HduYzc9sLKQ/00184,id00029,1,male,Arab
id00029/HduYzc9sLKQ/00186,id00029,1,male,Arab
id00029/HduYzc9sLKQ/00187,id00029,1,male,Arab
id00029/KVCtKA7xUVg/00197,id00029,0,male,Arab
id00029/KVCtKA7xUVg/00213,id00029,0,male,Arab
id00029/TGpCGl036qk/00288,id00029,0,male,Arab
id00029/TGpCGl036qk/00306,id00029,0,male,Arab
id00029/TGpCGl036qk/00307,id00029,0,male,Arab
id00029/TGpCGl036qk/00308,id00029,1,male,Arab
id00029/UdTjMpnOxaU/00316,id00029,1,male,Arab
id00029/VPrmF4Mfd54/00322,id00029,2,male,Arab
id00029/VPrmF4Mfd54/00324,id00029,2,male,Arab
id00029/VPrmF4Mfd54/00337,id00029,1,male,Arab
id00029/VPrmF4Mfd54/00352,id00029,1,male,Arab
id00029/VPrmF4Mfd54/00354,id00029,0,male,Arab
id00029/lL2_nvAUIbg/00399,id00029,0,male,Arab
id00029/mhzL3L3erYE/00409,id00029,2,male,Arab
id00029/mhzL3L3erYE/00411,id00029,0,male,Arab
id00029/mhzL3L3erYE/00414,id00029,2,male,Arab
id00029/tDIvM3iVBTY/00445,id00029,0,male,Arab
id00029/tDIvM3iVBTY/00446,id00029,0,male,Arab
id00029/tDIvM3iVBTY/00448,id00029,0,male,Arab
id00029/tLQri3p72fI/00450,id00029,0,male,Arab
id00029/uY8PpVWdB54/00453,id00029,0,male,Arab
id00029/uY8PpVWdB54/00454,id00029,0,male,Arab
id00029/uY8PpVWdB54/00457,id00029,0,male,Arab
id00029/uY8PpVWdB54/00458,id00029,0,male,Arab
id00029/vbSVgopf1kk/00459,id00029,0,male,Arab
id00029/vbSVgopf1kk/00463,id00029,0,male,Arab
id00029/wSyDzg3pkGs/00468,id00029,0,male,Arab
id00029/wayNsUNA40Q/00474,id00029,1,male,Arab
id00029/wayNsUNA40Q/00476,id00029,0,male,Arab
id00029/wayNsUNA40Q/00477,id00029,0,male,Arab
id00029/wayNsUNA40Q/00481,id00029,0,male,Arab
id00029/wayNsUNA40Q/00483,id00029,0,male,Arab
id00029/wayNsUNA40Q/00484,id00029,0,male,Arab
id00029/wayNsUNA40Q/00486,id00029,0,male,Arab
id00029/wayNsUNA40Q/00487,id00029,0,male,Arab
id00029/wayNsUNA40Q/00488,id00029,0,male,Arab
id00029/wayNsUNA40Q/00489,id00029,0,male,Arab
id00029/wayNsUNA40Q/00490,id00029,0,male,Arab
id00029/wayNsUNA40Q/00491,id00029,0,male,Arab
id00029/y3-5YPS1GnM/00493,id00029,0,male,Arab
id00029/y3-5YPS1GnM/00496,id00029,0,male,Arab
id00029/y3-5YPS1GnM/00500,id00029,0,male,Arab
id00033/0GPJ_HqT9t0/00009,id00033,0,male,South Asian
id00033/0GPJ_HqT9t0/00013,id00033,3,male,South Asian
id00033/0GPJ_HqT9t0/00022,id00033,0,male,South Asian
id00033/CNdt1lNvIZ8/00039,id00033,1,male,South Asian
id00033/CNdt1lNvIZ8/00043,id00033,0,male,South Asian
id00033/CNdt1lNvIZ8/00050,id00033,1,male,South Asian
id00033/Mt-TB53aibk/00090,id00033,2,male,South Asian
id00033/Mt-TB53aibk/00093,id00033,0,male,South Asian
id00033/Mt-TB53aibk/00128,id00033,0,male,South Asian
id00033/PXv-YbP8ivk/00138,id00033,2,male,South Asian
id00033/WZ5-YnG_7qc/00193,id00033,2,male,South Asian
id00033/c-nUSHeQQJs/00213,id00033,0,male,South Asian
id00033/c-nUSHeQQJs/00220,id00033,0,male,South Asian
id00033/cGrFFP6f84U/00235,id00033,2,male,South Asian
id00033/cGrFFP6f84U/00241,id00033,2,male,South Asian
id00033/gduDuRWhnlQ/00256,id00033,0,male,South Asian
id00033/gduDuRWhnlQ/00262,id00033,0,male,South Asian
id00033/gduDuRWhnlQ/00272,id00033,3,male,South Asian
id00033/gduDuRWhnlQ/00280,id00033,0,male,South Asian
id00033/h_ESFy57xCw/00312,id00033,0,male,South Asian
id00033/h_ESFy57xCw/00315,id00033,0,male,South Asian
id00033/mYS__9VPtww/00318,id00033,0,male,South Asian
id00033/oqyz4qWO2UI/00325,id00033,0,male,South Asian
id00033/oqyz4qWO2UI/00326,id00033,2,male,South Asian
id00033/oqyz4qWO2UI/00327,id00033,0,male,South Asian
id00033/oqyz4qWO2UI/00329,id00033,0,male,South Asian
id00033/oqyz4qWO2UI/00333,id00033,0,male,South Asian
id00033/q6262nZtE8o/00335,id00033,2,male,South Asian
id00033/qVSnA-6wsIs/00336,id00033,0,male,South Asian
id00033/qVSnA-6wsIs/00337,id00033,0,male,South Asian
id00033/qVSnA-6wsIs/00339,id00033,0,male,South Asian
id00033/qVSnA-6wsIs/00340,id00033,0,male,South Asian
id00033/qVSnA-6wsIs/00342,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00348,id00033,2,male,South Asian
id00033/whnCXDsjlZo/00351,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00355,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00356,id00033,2,male,South Asian
id00033/whnCXDsjlZo/00357,id00033,2,male,South Asian
id00033/whnCXDsjlZo/00358,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00359,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00361,id00033,2,male,South Asian
id00033/whnCXDsjlZo/00362,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00365,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00367,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00368,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00369,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00371,id00033,0,male,South Asian
id00033/whnCXDsjlZo/00375,id00033,0,male,South Asian
id00033/y9VYDStYRyk/00376,id00033,0,male,South Asian
id00033/y9VYDStYRyk/00381,id00033,0,male,South Asian
id00047/6kSwBpCcr2s/00007,id00047,0,male,Caucasian (Australian)
id00047/78BeU2oFO8A/00048,id00047,0,male,Caucasian (Australian)
id00047/78BeU2oFO8A/00083,id00047,0,male,Caucasian (Australian)
id00047/78BeU2oFO8A/00094,id00047,0,male,Caucasian (Australian)
id00047/7dlrGa5JhrA/00105,id00047,0,male,Caucasian (Australian)
id00047/C3HZGa6XRN0/00116,id00047,1,male,Caucasian (Australian)
id00047/ERg_9vGqu_o/00138,id00047,0,male,Caucasian (Australian)
id00047/PVLJfn9N7bI/00184,id00047,0,male,Caucasian (Australian)
id00047/PVLJfn9N7bI/00185,id00047,1,male,Caucasian (Australian)
id00047/_FGB9hH7DLc/00201,id00047,1,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00213,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00218,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00279,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00280,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00281,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00282,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00286,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00288,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00289,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00290,id00047,0,male,Caucasian (Australian)
id00047/cjVddHDq-wo/00292,id00047,0,male,Caucasian (Australian)
id00047/fsDnAJ_Teg0/00297,id00047,0,male,Caucasian (Australian)
id00047/hjRrjo8qBFc/00298,id00047,1,male,Caucasian (Australian)
id00047/pQOMqGu10Lk/00299,id00047,2,male,Caucasian (Australian)
id00047/pQOMqGu10Lk/00300,id00047,2,male,Caucasian (Australian)
id00047/qHVlX8gnEWU/00302,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00304,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00305,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00307,id00047,1,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00308,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00310,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00311,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00312,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00314,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00316,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00317,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00318,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00319,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00320,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00323,id00047,1,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00324,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00325,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00329,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00330,id00047,0,male,Caucasian (Australian)
id00047/qk9v-wFnSLM/00332,id00047,0,male,Caucasian (Australian)
id00047/vXgYFmlnxz0/00342,id00047,0,male,Caucasian (Australian)
id00047/vXgYFmlnxz0/00343,id00047,2,male,Caucasian (Australian)
id00047/vXgYFmlnxz0/00344,id00047,0,male,Caucasian (Australian)
